yearArticle, authorArticle, year, authorFirst, authorLast, authors, article, number, line
"2019","Tourish, Dennis","2018","Uhl-Bien M","Uhl-Bien M","Uhl-Bien M","1","1","Uhl-Bien M, 2018, LEADERSHIP QUART, V29, P89, DOI 10.1016/j.leaqua.2017.12.009."
"2019","Tourish, Dennis","2017","Uhl-Bien M","Uhl-Bien M","Uhl-Bien M","1","1","Uhl-Bien M, 2017, ORGAN DYN, V46, P9, DOI 10.1016/j.orgdyn.2016.12.001."
"2019","Tourish, Dennis","2008","UhlBien M","UhlBien M","UhlBien M","1","1","UhlBien M, 2008, LEADERSH HORIZ, P1."
"2023","Huang, Kexin","2020","Agbelade AD","Agbelade AD","Agbelade AD","2","1","Agbelade AD, 2020, URBAN ECOSYST, V23, P957, DOI 10.1007/s11252-020-00994-4."
"2023","Huang, Kexin","2022","Bartowitz KJ","Bartowitz KJ","Bartowitz KJ","2","1","Bartowitz KJ, 2022, FRONT FOR GLOB CHANG, V5, DOI 10.3389/ffgc.2022.867112."
"2023","Huang, Kexin","2020","Biber P","Biber P","Biber P","2","1","Biber P, 2020, FRONT ECOL EVOL, V8, DOI 10.3389/fevo.2020.547696."
"2023","Huang, Kexin","2020","Bombrun M","Bombrun M","Bombrun M","2","1","Bombrun M, 2020, FRONT PLANT SCI, V11, DOI 10.3389/fpls.2020.00099."
"2023","Huang, Kexin","2013","Cacho OJ","Cacho OJ","Cacho OJ","2","1","Cacho OJ, 2013, ECOL ECON, V88, P232, DOI 10.1016/j.ecolecon.2012.12.008."
"2023","Huang, Kexin","2020","Chen JD","Chen JD","Chen JD","2","1","Chen JD, 2020, SCI DATA, V7, DOI 10.1038/s41597-020-00736-3."
"2023","Huang, Kexin","2022","Chen T.","Chen T.","Chen T.","2","1","Chen T., 2022, ENVIRON SCI POLLUT R, V29, P1."
"2023","Huang, Kexin","2020","Cui L","Cui L","Cui L","2","1","Cui L, 2020, J CLEAN PROD, V276, DOI 10.1016/j.jclepro.2020.124266."
"2023","Huang, Kexin","2020","del Rio T.","del Rio T.","del Rio T.","2","1","del Rio T., 2020, LONG TERM ASSESSMENT."
"2023","Huang, Kexin","2021","Fan FF","Fan FF","Fan FF","2","1","Fan FF, 2021, LANDSCAPE ECOL, V36, P2175, DOI 10.1007/s10980-020-01044-2."
"2023","Huang, Kexin","2021","Fang M.","Fang M.","Fang M.","2","1","Fang M., 2021, REMOTE SENS-BASEL, V13."
"2023","Huang, Kexin","2007","Fath BD","Fath BD","Fath BD","2","1","Fath BD, 2007, ECOL MODEL, V208, P49, DOI 10.1016/j.ecolmodel.2007.04.029."
"2023","Huang, Kexin","1981","FORMAN RTT","FORMAN RTT","FORMAN RTT","2","1","FORMAN RTT, 1981, BIOSCIENCE, V31, P733, DOI 10.2307/1308780."
"2023","Huang, Kexin","2021","Gao JB","Gao JB","Gao JB","2","1","Gao JB, 2021, LANDSCAPE ECOL, V36, P2113, DOI 10.1007/s10980-020-01100-x."
"2023","Huang, Kexin","2021","Guo HQ","Guo HQ","Guo HQ","2","1","Guo HQ, 2021, J CLEAN PROD, V322, DOI 10.1016/j.jclepro.2021.129156."
"2023","Huang, Kexin","2022","He YHZ","He YHZ","He YHZ","2","1","He YHZ, 2022, ECOL INFORM, V68, DOI 10.1016/j.ecoinf.2022.101555."
"2023","Huang, Kexin","2022","Hu L","Hu L","Hu L","2","1","Hu L, 2022, SCI TOTAL ENVIRON, V820, DOI 10.1016/j.scitotenv.2022.153137."
"2023","Huang, Kexin","2018","Hu PL","Hu PL","Hu PL","2","1","Hu PL, 2018, LAND DEGRAD DEV, V29, P387, DOI 10.1002/ldr.2876."
"2023","Huang, Kexin","2011","Jierui Xie","Jierui Xie","Jierui Xie","2","1","Jierui Xie, 2011, 2011 IEEE First International Network Science Workshop (NSW 2011), P188, DOI 10.1109/NSW.2011.6004645."
"2023","Huang, Kexin","2020","Li SC","Li SC","Li SC","2","1","Li SC, 2020, J CLEAN PROD, V247, DOI 10.1016/j.jclepro.2019.119143."
"2023","Huang, Kexin","2022","Liu HJ","Liu HJ","Liu HJ","2","1","Liu HJ, 2022, ECOL INDIC, V139, DOI 10.1016/j.ecolind.2022.108919."
"2023","Huang, Kexin","2018","Liu HY","Liu HY","Liu HY","2","1","Liu HY, 2018, AGR FOREST METEOROL, V256, P10, DOI 10.1016/j.agrformet.2018.02.015."
"2023","Huang, Kexin","2021","Luo YH","Luo YH","Luo YH","2","1","Luo YH, 2021, LANDSCAPE URBAN PLAN, V210, DOI 10.1016/j.landurbplan.2021.104066."
"2023","Huang, Kexin","2022","Ma BR","Ma BR","Ma BR","2","1","Ma BR, 2022, SCI TOTAL ENVIRON, V825, DOI 10.1016/j.scitotenv.2022.154068."
"2023","Huang, Kexin","2012","McRae BH","McRae BH","McRae BH","2","1","McRae BH, 2012, PLOS ONE, V7, DOI 10.1371/journal.pone.0052604."
"2023","Huang, Kexin","Vacio","National Catalogue Service for Geographic Information Platform","National Catalogue Service for Geographic Information Platform","National Catalogue Service for Geographic Information Platform","2","1","National Catalogue Service for Geographic Information Platform, US."
"2023","Huang, Kexin","2018","Peng J","Peng J","Peng J","2","1","Peng J, 2018, SCI TOTAL ENVIRON, V644, P781, DOI 10.1016/j.scitotenv.2018.06.292."
"2023","Huang, Kexin","2022","Peng L","Peng L","Peng L","2","1","Peng L, 2022, ECOL INDIC, V135, DOI 10.1016/j.ecolind.2022.108569."
"2023","Huang, Kexin","Vacio","resdc","resdc","resdc","2","1","resdc, RES ENV SCI DAT CTR."
"2023","Huang, Kexin","2022","Shen Z.","Shen Z.","Shen Z.","2","1","Shen Z., 2022, LANDSCAPE URBAN PLAN, V228."
"2023","Huang, Kexin","2021","Song S","Song S","Song S","2","1","Song S, 2021, INT J ENV RES PUB HE, V18, DOI 10.3390/ijerph18041427."
"2023","Huang, Kexin","2022","Song WQ","Song WQ","Song WQ","2","1","Song WQ, 2022, SCI TOTAL ENVIRON, V848, DOI 10.1016/j.scitotenv.2022.157729."
"2023","Huang, Kexin","2020","Su K","Su K","Su K","2","1","Su K, 2020, ECOL INDIC, V112, DOI 10.1016/j.ecolind.2020.106138."
